Ace,"Quand un joueur élimine tous les joueurs de l’équipe adverse durant la même manche.""
Ace d’équipe,"Quand tous les joueurs de la même équipe éliminent chacun un joueur de l’équipe adverse durant le même round."
AFK,"Signifie “Away From Keyboard”, en français “Loin de son clavier” et signifie un joueur absent, qui n’est pas sur son ordinateur pendant la partie."
Agression,"Fait d’agresser une position pour en prendre le contrôle ou pour prendre des informations"
Aim,"Littéralement “Visée”. Utilisé pour dire qu’un joueur a une bonne ou mauvaise visée."
Aimbot,"Type de triche qui permet de viser automatiquement les ennemis ou une partie du corps des ennemis (les têtes sur CS : GO).Flatter un joueur qui vise bien."
Anti-Eco,"Jouer un round contre un équipe qui n’a pas d’argent (dit “eco”) et donc adapter son style de jeu."
Assistance,"Nombre de fois où un joueur a aidé un autre joueur à éliminer un ennemi."
Back,"Littéralement “arrière” souvent utilisé pour situer les zones derrières les joueurs. Définit l’action de retourner, repartir sur une zone précise de la carte."
Backup,"Le fait que certains ou tous les joueurs d’une même équipe viennent aider un ou plusieurs autres joueurs dans une zone précise.""
Bait,"Faire l’appât pour son coéquiper. Lorsqu’un coéquipier se met dans une position dangereuse pour attirer les tirs des ennemis pendant que ses coéquipiers se cachent afin que ces mêmes ennemis puissent repérer les ennemis et riposter rapidement."
Ban,"Littéralement “Exclure” utilisé pour désigner un joueur banni. Aussi utilisé dans les compétitions officielles pour enlever une carte lors d’un match."
Blanc,"Qualifie un joueur aveuglé par une lumière blanche, dû à une grenade flash. Fait référence à l’écran blanc du joueur."
Bodyshot,"Tir dans le corps"
Bombsite,"Lieu où les terroristes doivent planter la bombe." 
Boost,"Lorsqu'un joueur monte sur un autre joueur pour gagner un avantage en atteignant une position inatteignable sans cette aide. Aussi utiliser pour décrire un joueur qui se trouve à un rang du jeu où il ne devrait pas être."
Bot,"Décrit de base un joueur contrôlé pour l’IA mais utilisé pour qualifier un joueur qui ne possède pas une bonne maîtrise des compétences du jeu."
Bottom-fragger,"Utilisé pour décrire un joueur dernier de son équipe en termes d'élimination."
Brain,"Littéralement “cerveau”. Décrit la capacité d’un joueur à être malin, à utiliser son intelligence de jeu."
Bunny,Technique de saut permettant de se déplacer plus vite qu’à la base.
Burst,Action de tirer en rafale de 3 coups.
Buy,"Littéralement “achat”. Décrit le fait d’acheter des armes lors d’un nouveau round, au début de ce dernier."
